-- Start ../../PicrossHD/Puzzles/Puzzles Puzzle Pack/Puzzles.xml --
unique logical  	 SamplerA01Diamond
unique logical  	 SamplerA02Checker
trivial unique logical  	 SamplerA03Slingshot
unique logical  	 SamplerA04House
trivial unique logical  	 SamplerA05Add
trivial unique logical  	 SamplerA06Cell
unique logical  	 SamplerA07Heart
unique logical  	 SamplerA08Note
unique logical  	 SamplerA09Moon
unique logical  	 SamplerB01Candle
trivial unique logical  	 SamplerB02Info
unique logical  	 SamplerB03Battery
unique logical  	 SamplerB04Point
unique logical  	 SamplerB05Trash
unique logical  	 SamplerB06Couple
unique logical  	 SamplerB07Scale
unique logical  	 SamplerB08Mailbox
unique logical  	 SamplerB09Rose
unique logical  	 SamplerB10Heart
unique logical  	 SamplerB11Elephant
unique  	 SamplerB12EvilGrin
unique logical  	 SamplerB13Apple
unique logical  	 SamplerB14Pineapple
unique logical  	 SamplerB15Strawberry
unique logical  	 SamplerB16Pear
unique logical  	 SamplerB17Cherry
unique logical  	 SamplerB18Banana
unique logical  	 SamplerB19Corn
unique logical  	 SamplerB20Grapes
unique logical  	 SamplerB21Carrot
unique logical  	 SamplerB22Pencil
unique logical  	 SamplerC51Pot
unique logical  	 SamplerC52Hungry
unique  	 SamplerC53Eye
unique  	 SamplerD71Dinner
unique logical  	 SamplerD72YinYang
unique logical  	 SamplerE00Music
multiple  	 SamplerE01Island
unique logical  	 SamplerE02Swan
unique  	 SamplerE03ScubaDiver
multiple  	 SamplerE04PirateShip
multiple  	 SamplerE05Night
-- end ../../PicrossHD/Puzzles/Puzzles Puzzle Pack/Puzzles.xml --
-- Start ../../PicrossHD/Puzzles/Halloween Puzzle Pack/Halloween.xml --
unique logical  	 HalloweenA00Zombie
trivial unique logical  	 HalloweenA01Skull
unique logical  	 HalloweenA02WitchHat
unique logical  	 HalloweenA03Tombstone
unique logical  	 HalloweenA04Candle
trivial unique logical  	 HalloweenA05Cider
unique logical  	 HalloweenB00Owl
trivial unique logical  	 HalloweenB01Spiderweb
unique logical  	 HalloweenB02Carving
unique logical  	 HalloweenB03Spider
unique logical  	 HalloweenB04Candybag
unique logical  	 HalloweenB05HatWand
multiple  	 HalloweenB06Mummy
unique logical  	 HalloweenB07Gargoyle
unique logical  	 HalloweenC00Pumpkin
unique logical  	 HalloweenC01Ghost
unique logical  	 HalloweenC02Bats
unique logical  	 HalloweenC03Howl
unique logical  	 HalloweenC04Devil
unique logical  	 HalloweenC05SwmpThing
unique logical  	 HalloweenC06Headless
unique logical  	 HalloweenC07Reaper
unique logical  	 HalloweenC08Cat
unique logical  	 HalloweenC09Scarytree
unique logical  	 HalloweenD00HauntedHouse
unique logical  	 HalloweenD01Witch
multiple  	 HalloweenD02Cauldron
-- end ../../PicrossHD/Puzzles/Halloween Puzzle Pack/Halloween.xml --
-- Start ../../PicrossHD/Puzzles/Pirates Puzzle Pack/Pirates.xml --
unique logical  	 PiratesA00FishHook
unique logical  	 PiratesA01FootPrint
unique logical  	 PiratesA02Anchor
unique logical  	 PiratesA03Key
unique logical  	 PiratesA04HookHand
unique logical  	 PiratesA05Raft
unique logical  	 PiratesB00Globe
unique logical  	 PiratesB01CrowNest
unique logical  	 PiratesB02Patch
unique logical  	 PiratesB03ShipBell
unique  	 PiratesB04Chest
unique logical  	 PiratesB05Sloop
unique logical  	 PiratesB06Sextant
unique logical  	 PiratesB_Griddlers1_40326
unique logical  	 PiratesB_Griddlers_40372
unique logical  	 PiratesC00Kraken
unique logical  	 PiratesC01Pistol
unique logical  	 PiratesC02Pegleg
unique logical  	 PiratesC03Crossbone
unique logical  	 PiratesC04PirateHat
unique logical  	 PiratesC05Brigantine
unique logical  	 PiratesC06Cannon
unique logical  	 PiratesC07Parrot
unique logical  	 PiratesC08Swords
unique logical  	 PiratesC09Blunderbus
unique logical  	 PiratesD00Pirate
unique logical  	 PiratesD_Griddlers1_30003
unique logical  	 PiratesD_Griddlers1_30024
unique  	 PiratesE00Port
unique logical  	 PiratesE01SailBoat
unique logical  	 PiratesE02TreasureMap
multiple  	 PiratesE03Pirateship
-- end ../../PicrossHD/Puzzles/Pirates Puzzle Pack/Pirates.xml --
-- Start ../../PicrossHD/Puzzles/Zoo Puzzle Pack/Zoo.xml --
unique logical  	 ZooA00Duck
unique logical  	 ZooB00Dolphin
multiple  	 ZooB01Bug
unique logical  	 ZooB02Duck
multiple  	 ZooB03Cat
unique logical  	 ZooB04Camel
unique logical  	 ZooB05Seagull
multiple  	 ZooB06Crab
unique logical  	 ZooB07Deer
unique logical  	 ZooB_Griddlers_40383
multiple  	 ZooC00Shark
unique  	 ZooC01Ducks
unique logical  	 ZooC_Griddlers_40413
multiple  	 ZooD00Butterfly
unique logical  	 ZooD01Turtle
unique logical  	 ZooD02Lion
unique logical  	 ZooD03Elephant
unique logical  	 ZooD04Zebra
unique logical  	 ZooD05Giraffe
unique logical  	 ZooD06Flamingo
unique logical  	 ZooD07Bison
unique  	 ZooD08Piggy
multiple  	 ZooD09Hippo
multiple  	 ZooD10Rino
multiple  	 ZooD11Kangaroo
unique logical  	 ZooD12Ostrage
unique logical  	 ZooD13Cheetah
unique logical  	 ZooD_Griddlers_20159
-- end ../../PicrossHD/Puzzles/Zoo Puzzle Pack/Zoo.xml --
-- Start ../../PicrossHD/Puzzles/Animals Puzzle Pack/Animals.xml --
unique logical  	 AnimalsA01Vulture
unique logical  	 AnimalsA02Fly
unique logical  	 AnimalsA03Poodle
unique logical  	 AnimalsA04Fish
unique logical  	 AnimalsB01Mouse
unique logical  	 AnimalsB02Frog
unique  	 AnimalsB03Fish
unique logical  	 AnimalsB_Griddlers_40367
unique logical  	 AnimalsB_Griddlers_40370
unique logical  	 AnimalsB_Griddlers_40390
unique logical  	 AnimalsC01Turtle
unique logical  	 AnimalsC02Dog pile
unique logical  	 AnimalsC_Griddlers_30031
unique logical  	 AnimalsC_Griddlers_30046
unique logical  	 AnimalsC_Griddlers_30048
unique logical  	 AnimalsC_Griddlers_30049
unique logical  	 AnimalsC_Griddlers_30062
unique logical  	 AnimalsC_Griddlers_40406
unique logical  	 AnimalsC_Griddlers_40408
unique logical  	 AnimalsC_Griddlers_40417
multiple  	 AnimalsD01Puzzle
unique logical  	 AnimalsD02Lizard
unique logical  	 AnimalsD03Gold Fish
unique  	 AnimalsD04Parrot
unique logical  	 AnimalsD05Hamster
unique logical  	 AnimalsD06Puppy
unique logical  	 AnimalsD07Bird
unique logical  	 AnimalsD08Kitty Face
unique logical  	 AnimalsD_Griddlers_20028
unique logical  	 AnimalsD_Griddlers_20101
unique logical  	 AnimalsE01Elephant
unique logical  	 AnimalsE02Puppy
-- end ../../PicrossHD/Puzzles/Animals Puzzle Pack/Animals.xml --
-- Start ../../PicrossHD/Puzzles/Army Puzzle Pack/Army.xml --
trivial unique logical  	 ArmyA01First Aid
unique logical  	 ArmyA02Arrow
trivial unique logical  	 ArmyA03Tire
unique  	 ArmyA04Private
unique logical  	 ArmyA05Boot
trivial unique logical  	 ArmyA06Road
unique logical  	 ArmyB01Tent
unique logical  	 ArmyB02Axe
unique logical  	 ArmyB03Mortor
unique logical  	 ArmyB04Sargent
unique logical  	 ArmyC01Ammo Box
unique logical  	 ArmyC02Hummer
multiple  	 ArmyC03Saber
unique logical  	 ArmyC04Hovercraft
unique logical  	 ArmyC05Hole
unique logical  	 ArmyC_Griddlers_40401
unique logical  	 ArmyC_Griddlers_40410
unique logical  	 ArmyD01Jeep
multiple  	 ArmyD02ATV
unique logical  	 ArmyD03Grenade
multiple  	 ArmyD04Choppa
unique logical  	 ArmyD05Shoot
unique logical  	 ArmyD06Boom
unique logical  	 ArmyE01Tank
-- end ../../PicrossHD/Puzzles/Army Puzzle Pack/Army.xml --
-- Start ../../PicrossHD/Puzzles/Christmas Puzzle Pack/Christmas.xml --
unique logical  	 ChristmasA01Ornament
unique logical  	 ChristmasA02Tree Topper
unique  	 ChristmasA03Reindeer
trivial unique logical  	 ChristmasA04Chimney
unique logical  	 ChristmasA05Mailbox
trivial unique logical  	 ChristmasA06Present
unique logical  	 ChristmasB_Griddlers1_40323
unique logical  	 ChristmasB_Griddlers_40386
unique logical  	 ChristmasD01Wreath
multiple  	 ChristmasD02Bell
unique logical  	 ChristmasD03Santa
unique logical  	 ChristmasD04Candy
unique logical  	 ChristmasD05Present
unique logical  	 ChristmasD06Stocking
multiple  	 ChristmasD07Drum
unique logical  	 ChristmasD08Candy cane
multiple  	 ChristmasD09Angel
multiple  	 ChristmasD10Star
multiple  	 ChristmasD11Stocking
unique logical  	 ChristmasD12Tree
multiple  	 ChristmasD13Bulb
unique logical  	 ChristmasD14Present
unique logical  	 ChristmasD15Ginerbread
multiple  	 ChristmasD16Deer
unique logical  	 ChristmasD17Angel
multiple  	 ChristmasE01Bow1
multiple  	 ChristmasE02Elf
multiple  	 ChristmasE03Santa1
multiple  	 ChristmasE04Bow
multiple  	 ChristmasE05Rudolph
unique logical  	 ChristmasE06Christmas Tree
unique logical  	 ChristmasE07Sleigh
